match_id,period,n_matches,goal_time,home
3901146,1,377,11,1
3901146,1,377,33,0
3901146,1,377,42,1
3901146,1,377,45,1
3901146,2,377,67,1
3901145,1,377,1,0
3901145,1,377,6,0
3901145,1,377,33,0
3901145,2,377,63,1
3901145,2,377,91,1
3900608,1,377,11,1
3900608,1,377,40,1
3900602,1,377,14,1
3900602,2,377,50,1
3829518,1,377,36,0
3829518,2,377,55,0
3829518,2,377,70,1
3829479,1,377,12,1
3829479,1,377,35,1
3829478,1,377,44,1
3829478,2,377,88,0
3829519,1,377,22,1
3829519,2,377,47,1
3829519,2,377,66,1
3829519,2,377,86,1
3829519,2,377,73,0
3829416,1,377,6,1
3829416,2,377,50,0
3829416,2,377,61,0
3829459,2,377,75,0
3900636,1,377,9,1
3900636,1,377,38,1
3900636,2,377,78,0
3900633,1,377,0,1
3900633,1,377,7,0
3900633,1,377,35,0
3900633,1,377,42,0
3900633,2,377,56,1
3900628,1,377,41,1
3900628,2,377,88,0
3900627,1,377,3,0
3900627,1,377,6,0
3900627,1,377,9,1
3900627,2,377,69,0
3900627,2,377,73,0
3900625,2,377,80,1
3900624,1,377,12,0
3900624,2,377,45,0
3900624,2,377,80,0
3900616,1,377,40,1
3900616,2,377,86,1
3900616,2,377,92,1
3900617,1,377,14,0
3900617,1,377,42,1
3900617,2,377,49,1
3900609,1,377,28,1
3900609,2,377,50,1
3900609,2,377,65,1
3900609,2,377,91,1
3900604,1,377,18,1
3900604,1,377,42,1
3900604,2,377,54,1
3900605,2,377,68,1
3900603,1,377,11,0
3900603,2,377,63,1
3900603,2,377,71,0
3900606,1,377,40,0
3900600,2,377,56,0
3900600,2,377,95,1
3900598,1,377,27,1
3900598,1,377,35,1
3900598,2,377,69,1
3900598,2,377,92,1
3900597,2,377,63,0
3900597,2,377,77,1
3900599,2,377,59,0
3900599,2,377,88,1
3900592,1,377,22,1
3900592,1,377,39,0
3900592,2,377,51,0
3900595,1,377,22,0
3900595,1,377,34,1
3900595,1,377,43,1
3900593,1,377,24,1
3900593,2,377,76,0
3900593,2,377,79,0
3900593,2,377,85,0
3900590,2,377,90,1
3900589,1,377,11,0
3900589,2,377,59,0
3900589,2,377,66,1
3900589,2,377,82,0
3900588,2,377,52,0
3900588,2,377,56,0
3900586,1,377,2,1
3900586,1,377,23,1
3900586,2,377,91,0
3900586,2,377,63,0
3900584,2,377,47,1
3900582,1,377,1,1
3900582,1,377,21,0
3900582,1,377,30,0
3900582,2,377,71,1
3900583,1,377,6,1
3900583,1,377,14,1
3900583,1,377,20,0
3900583,1,377,27,0
3900583,1,377,38,0
3900583,2,377,80,0
3900585,2,377,72,0
3900570,1,377,28,1
3900570,1,377,38,1
3900567,2,377,54,0
3900567,2,377,56,1
3900568,1,377,31,1
3900568,2,377,66,1
3900568,2,377,71,0
3900549,1,377,39,0
3900549,2,377,78,1
