match_id,period,n_matches,goal_time,home
3825747,1,380,3,0
3825747,1,380,11,1
3825747,1,380,26,1
3825747,1,380,39,1
3825747,2,380,49,0
3825747,2,380,51,1
3825747,2,380,79,1
3825745,1,380,26,1
3825745,2,380,92,0
3825746,1,380,6,1
3825746,2,380,70,0
3825743,1,380,20,1
3825743,1,380,25,1
3825743,1,380,35,1
3825744,1,380,3,1
3825744,1,380,23,0
3825744,1,380,39,1
3825744,2,380,87,0
3825742,1,380,26,1
3825742,1,380,35,1
3825742,2,380,70,0
3825742,2,380,73,0
3825742,2,380,76,1
3825741,1,380,0,1
3825741,1,380,8,1
3825741,1,380,36,0
3825741,1,380,43,1
3825741,2,380,52,1
3825741,2,380,80,1
3825739,1,380,6,1
3825739,1,380,8,1
3825739,1,380,11,1
3825739,1,380,17,1
3825739,1,380,40,1
3825739,2,380,61,0
3825738,1,380,16,0
3825738,2,380,67,0
3825738,2,380,88,0
3825737,1,380,25,0
3825737,1,380,28,1
3825737,1,380,36,1
3825737,2,380,93,1
3825734,1,380,25,0
3825734,2,380,74,1
3825733,1,380,39,1
3825733,1,380,41,1
3825733,2,380,71,0
3825732,1,380,34,1
3825732,1,380,39,1
3825732,2,380,56,1
3825732,2,380,62,0
3825732,2,380,64,0
3825732,2,380,83,1
3825732,2,380,88,0
3825729,1,380,25,1
3825729,2,380,50,1
3825728,2,380,48,0
3825728,2,380,79,0
3825730,2,380,78,1
3825730,2,380,81,1
3825727,1,380,14,1
3825727,1,380,21,0
3825727,2,380,73,1
3825723,2,380,71,1
3825723,2,380,80,1
3825723,2,380,82,0
3825726,1,380,23,1
3825726,2,380,58,1
3825725,2,380,56,1
3825724,1,380,14,1
3825724,1,380,21,1
3825724,2,380,48,1
3825724,2,380,62,1
3825724,2,380,90,1
3825722,1,380,15,1
3825722,2,380,68,0
3825722,2,380,70,0
3825716,1,380,14,1
3825716,1,380,26,0
3825716,2,380,50,1
3825716,2,380,62,0
3825719,1,380,16,1
3825719,2,380,61,0
3825719,2,380,65,1
3825719,2,380,80,0
3825720,1,380,2,0
3825720,1,380,16,0
3825720,2,380,70,0
3825720,2,380,81,0
3825717,1,380,16,1
3825717,1,380,36,1
3825717,1,380,45,0
3825721,1,380,35,0
3825721,2,380,47,1
3825721,2,380,94,0
3825718,1,380,15,0
3825718,1,380,45,1
3825718,2,380,81,0
3825718,2,380,82,1
3825715,1,380,7,1
3825715,1,380,25,1
3825714,2,380,80,1
3825713,2,380,63,1
3825710,1,380,41,1
3825710,2,380,48,0
3825710,2,380,66,1
3825710,2,380,85,1
3825709,1,380,15,1
3825709,1,380,40,1
3825646,1,380,24,1
3825646,2,380,60,1
3825646,2,380,75,0
3825645,1,380,36,0
3825645,2,380,57,0
3825644,1,380,10,1
3825644,1,380,16,0
3825644,1,380,36,1
3825644,2,380,55,0
3825644,2,380,88,0
3825640,1,380,7,0
3825640,1,380,34,0
3825640,2,380,81,0
3825640,2,380,83,0
3825636,2,380,61,1
3825636,2,380,84,1
3825635,1,380,7,0
3825635,1,380,22,0
3825635,2,380,84,1
3825635,2,380,95,0
3825634,1,380,2,1
3825634,1,380,39,0
3825633,1,380,35,1
3825633,2,380,75,1
3825633,2,380,77,1
3825632,1,380,7,1
3825632,1,380,20,0
3825632,1,380,40,0
3825632,2,380,73,0
3825632,2,380,87,1
3825632,2,380,95,1
3825631,1,380,8,0
3825631,2,380,90,0
3825630,1,380,29,0
3825630,2,380,62,0
3825630,2,380,79,1
3825630,2,380,88,1
3825629,1,380,40,0
3825629,2,380,66,1
3825629,2,380,89,0
3825627,1,380,14,0
3825627,1,380,21,1
3825627,1,380,31,1
3825627,2,380,68,1
3825627,2,380,69,1
3825627,2,380,76,1
3825627,2,380,85,0
3825625,1,380,26,1
3825625,1,380,29,1
3825625,2,380,81,1
